VGS_V,VDS_V,ID_A
0.20,0.110,7.568216e-09
0.20,0.120,8.087896e-09
0.20,0.130,8.634695e-09
0.20,0.140,9.211723e-09
0.20,0.150,9.821814e-09
0.20,0.160,1.046768e-08
0.20,0.170,1.115198e-08
0.20,0.180,1.187743e-08
0.20,0.190,1.264678e-08
0.20,0.200,1.346289e-08
0.20,0.210,1.432873e-08
0.20,0.220,1.524742e-08
0.20,0.230,1.622221e-08
0.20,0.240,1.725653e-08
0.20,0.250,1.835397e-08
0.20,0.260,1.951834e-08
0.20,0.270,2.075363e-08
0.20,0.280,2.206404e-08
0.20,0.290,2.345402e-08
0.20,0.300,2.492824e-08
0.20,0.310,2.649163e-08
0.20,0.320,2.814939e-08
0.20,0.330,2.990700e-08
0.20,0.340,3.177023e-08
0.20,0.350,3.374518e-08
0.20,0.360,3.583826e-08
0.20,0.370,3.805624e-08
0.20,0.380,4.040626e-08
0.20,0.390,4.289584e-08
0.20,0.400,4.553292e-08
0.20,0.410,4.832586e-08
0.20,0.420,5.128348e-08
0.20,0.430,5.441510e-08
0.20,0.440,5.773053e-08
0.20,0.450,6.124014e-08
0.20,0.460,6.495487e-08
0.20,0.470,6.888625e-08
0.20,0.480,7.304648e-08
0.20,0.490,7.744842e-08
0.20,0.500,8.210566e-08
0.20,0.510,8.703255e-08
0.20,0.520,9.224425e-08
0.20,0.530,9.775679e-08
0.20,0.540,1.035871e-07
0.20,0.550,1.097530e-07
0.20,0.560,1.162736e-07
0.20,0.570,1.231686e-07
0.20,0.580,1.304594e-07
0.20,0.590,1.381681e-07
0.20,0.600,1.463185e-07
0.20,0.610,1.549355e-07
0.20,0.620,1.640455e-07
0.20,0.630,1.736763e-07
0.20,0.640,1.838576e-07
0.20,0.650,1.946205e-07
0.20,0.660,2.059980e-07
0.20,0.670,2.180248e-07
0.20,0.680,2.307379e-07
0.20,0.690,2.441760e-07
0.20,0.700,2.583804e-07
0.20,0.710,2.733943e-07
0.20,0.720,2.892636e-07
0.20,0.730,3.060367e-07
0.20,0.740,3.237645e-07
0.20,0.750,3.425008e-07
0.20,0.760,3.623025e-07
0.20,0.770,3.832292e-07
0.20,0.780,4.053441e-07
0.20,0.790,4.287135e-07
0.20,0.800,4.534072e-07
0.30,0.000,-9.707583e-14
0.30,0.010,1.560089e-08
0.30,0.020,2.841283e-08
0.30,0.030,3.862371e-08
0.30,0.040,4.669940e-08
0.30,0.050,5.326152e-08
0.30,0.060,5.890110e-08
0.30,0.070,6.405922e-08
0.30,0.080,6.902090e-08
0.30,0.090,7.396030e-08
0.30,0.100,7.898472e-08
0.30,0.110,8.416356e-08
0.30,0.120,8.954494e-08
0.30,0.130,9.516501e-08
0.30,0.140,1.010530e-07
0.30,0.150,1.072344e-07
0.30,0.160,1.137323e-07
0.30,0.170,1.205688e-07
0.30,0.180,1.277653e-07
0.30,0.190,1.353433e-07
0.30,0.200,1.433245e-07
0.30,0.210,1.517310e-07
0.30,0.220,1.605855e-07
0.30,0.230,1.699112e-07
0.30,0.240,1.797323e-07
0.30,0.250,1.900737e-07
0.30,0.260,2.009611e-07
0.30,0.270,2.124215e-07
0.30,0.280,2.244824e-07
0.30,0.290,2.371727e-07
0.30,0.300,2.505222e-07
0.30,0.310,2.645618e-07
0.30,0.320,2.793235e-07
0.30,0.330,2.948406e-07
0.30,0.340,3.111475e-07
0.30,0.350,3.282798e-07
0.30,0.360,3.462744e-07
0.30,0.370,3.651694e-07
0.30,0.380,3.850045e-07
0.30,0.390,4.058205e-07
0.30,0.400,4.276597e-07
0.30,0.410,4.505658e-07
0.30,0.420,4.745839e-07
0.30,0.430,4.997609e-07
0.30,0.440,5.261450e-07
0.30,0.450,5.537861e-07
0.30,0.460,5.827358e-07
0.30,0.470,6.130471e-07
0.30,0.480,6.447752e-07
0.30,0.490,6.779767e-07
0.30,0.500,7.127103e-07
0.30,0.510,7.490364e-07
0.30,0.520,7.870173e-07
0.30,0.530,8.267176e-07
0.30,0.540,8.682035e-07
0.30,0.550,9.115436e-07
0.30,0.560,9.568084e-07
0.30,0.570,1.004071e-06
0.30,0.580,1.053406e-06
0.30,0.590,1.104891e-06
0.30,0.600,1.158605e-06
0.30,0.610,1.214631e-06
0.30,0.620,1.273053e-06
0.30,0.630,1.333957e-06
0.30,0.640,1.397434e-06
0.30,0.650,1.463574e-06
0.30,0.660,1.532473e-06
0.30,0.670,1.604228e-06
0.30,0.680,1.678938e-06
0.30,0.690,1.756705e-06
0.30,0.700,1.837636e-06
0.30,0.710,1.921838e-06
0.30,0.720,2.009422e-06
0.30,0.730,2.100502e-06
0.30,0.740,2.195193e-06
0.30,0.750,2.293616e-06
0.30,0.760,2.395892e-06
0.30,0.770,2.502147e-06
0.30,0.780,2.612509e-06
0.30,0.790,2.727109e-06
0.30,0.800,2.846081e-06
0.40,0.000,-2.724136e-13
0.40,0.010,1.296584e-07
