VGS_V,VDS_V,ID_A
-0.70,-0.070,5.778637e-06
-0.70,-0.060,5.000873e-06
-0.70,-0.050,4.207173e-06
-0.70,-0.040,3.397543e-06
-0.70,-0.030,2.571994e-06
-0.70,-0.020,1.730541e-06
-0.70,-0.010,8.732020e-07
-0.70,0.000,-1.902253e-16
-0.60,-0.800,2.908849e-05
-0.60,-0.790,2.863745e-05
-0.60,-0.780,2.819856e-05
-0.60,-0.770,2.777073e-05
-0.60,-0.760,2.735297e-05
-0.60,-0.750,2.694436e-05
-0.60,-0.740,2.654405e-05
-0.60,-0.730,2.615126e-05
-0.60,-0.720,2.576529e-05
-0.60,-0.710,2.538548e-05
-0.60,-0.700,2.501125e-05
-0.60,-0.690,2.464207e-05
-0.60,-0.680,2.427747e-05
-0.60,-0.670,2.391703e-05
-0.60,-0.660,2.356039e-05
-0.60,-0.650,2.320722e-05
-0.60,-0.640,2.285723e-05
-0.60,-0.630,2.251018e-05
-0.60,-0.620,2.216587e-05
-0.60,-0.610,2.182411e-05
-0.60,-0.600,2.148476e-05
-0.60,-0.590,2.114769e-05
-0.60,-0.580,2.081280e-05
-0.60,-0.570,2.048001e-05
-0.60,-0.560,2.014924e-05
-0.60,-0.550,1.982046e-05
-0.60,-0.540,1.949360e-05
-0.60,-0.530,1.916865e-05
-0.60,-0.520,1.884556e-05
-0.60,-0.510,1.852432e-05
-0.60,-0.500,1.820490e-05
-0.60,-0.490,1.788730e-05
-0.60,-0.480,1.757149e-05
-0.60,-0.470,1.725744e-05
-0.60,-0.460,1.694515e-05
-0.60,-0.450,1.663459e-05
-0.60,-0.440,1.632573e-05
-0.60,-0.430,1.601853e-05
-0.60,-0.420,1.571297e-05
-0.60,-0.410,1.540900e-05
-0.60,-0.400,1.510656e-05
-0.60,-0.390,1.480559e-05
-0.60,-0.380,1.450602e-05
-0.60,-0.370,1.420777e-05
-0.60,-0.360,1.391072e-05
-0.60,-0.350,1.361477e-05
-0.60,-0.340,1.331976e-05
-0.60,-0.330,1.302552e-05
-0.60,-0.320,1.273185e-05
-0.60,-0.310,1.243852e-05
-0.60,-0.300,1.214523e-05
-0.60,-0.290,1.185163e-05
-0.60,-0.280,1.155733e-05
-0.60,-0.270,1.126185e-05
-0.60,-0.260,1.096462e-05
-0.60,-0.250,1.066498e-05
-0.60,-0.240,1.036217e-05
-0.60,-0.230,1.005533e-05
-0.60,-0.220,9.743503e-06
-0.60,-0.210,9.425663e-06
