frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
141.25375,0.2,-5.637900000000001e-18,-2.6710500000000003e-17,0.001,0.0,3.009554158708049e-17
158.48932,0.2,-5.637900000000001e-18,-2.99696e-17,0.001,0.0,3.009546625909473e-17
177.82794,0.2,-5.637900000000001e-18,-3.3626500000000005e-17,0.001,0.0,3.009551645191199e-17
199.52623,0.2,-5.637900000000001e-18,-3.77295e-17,0.001,0.0,3.009547379001581e-17
223.87211,0.2,-5.637900000000001e-18,-4.23332e-17,0.001,0.0,3.009547744423288e-17
251.18864,0.2,-5.637900000000001e-18,-4.74987e-17,0.001,0.0,3.0095520623221696e-17
281.83829,0.2,-5.637900000000001e-18,-5.329440000000001e-17,0.001,0.0,3.0095510440106306e-17
316.22777,0.2,-5.637900000000001e-18,-5.97973e-17,0.001,0.0,3.0095509570677465e-17
354.81339,0.2,-5.637900000000001e-18,-6.709370000000001e-17,0.001,0.0,3.0095521494622e-17
398.10717,0.2,-5.637900000000001e-18,-7.528030000000001e-17,0.001,0.0,3.009549378987776e-17
446.68359,0.2,-5.637900000000001e-18,-8.44659e-17,0.001,0.0,3.0095498936295655e-17
501.18723,0.2,-5.637900000000001e-18,-9.47723e-17,0.001,0.0,3.0095499466712336e-17
562.34133,0.2,-5.637900000000001e-18,-1.0633630000000001e-16,0.001,0.0,3.0095507607635226e-17
630.95734,0.2,-5.637900000000001e-18,-1.1931130000000002e-16,0.001,0.0,3.009551035846584e-17
707.94578,0.2,-5.637900000000001e-18,-1.3386940000000003e-16,0.001,0.0,3.0095492254712184e-17
794.32823,0.2,-5.637900000000001e-18,-1.5020400000000002e-16,0.001,0.0,3.0095504816913094e-17
891.25094,0.2,-5.637900000000001e-18,-1.685316e-16,0.001,0.0,3.0095493876490126e-17
1000.0,0.2,-5.637900000000001e-18,-1.890956e-16,0.001,0.0,3.0095499456927804e-17
1122.02,0.2,-5.637900000000001e-18,-2.1216880000000002e-16,0.001,0.0,3.009546468857572e-17
1258.93,0.2,-5.637900000000001e-18,-2.380573e-16,0.001,0.0,3.0095395323099975e-17
1412.54,0.2,-5.637900000000001e-18,-2.671046e-16,0.001,0.0,3.0095443252993525e-17
1584.8899999999999,0.2,-5.637900000000001e-18,-2.9969630000000004e-16,0.001,0.0,3.00955571499294e-17
1778.28,0.2,-5.637900000000001e-18,-3.362648e-16,0.001,0.0,3.009548839766942e-17
1995.26,0.2,-5.637900000000001e-18,-3.7729530000000004e-16,0.001,0.0,3.0095532411986205e-17
2238.72,0.2,-5.637900000000001e-18,-4.233323e-16,0.001,0.0,3.009551355929333e-17
2511.8900000000003,0.2,-5.637900000000001e-18,-4.749867000000001e-16,0.001,0.0,3.009545848261953e-17
2818.38,0.2,-5.637900000000001e-18,-5.329438e-16,0.001,0.0,3.0095530113106983e-17
3162.28,0.2,-5.637900000000001e-18,-5.979728e-16,0.001,0.0,3.009547761567645e-17
3548.13,0.2,-5.637900000000001e-18,-6.7093650000000005e-16,0.001,0.0,3.0095532146729525e-17
3981.0699999999997,0.2,-5.637900000000001e-18,-7.528032e-16,0.001,0.0,3.009551463686816e-17
4466.84,0.2,-5.637900000000001e-18,-8.446591000000001e-16,0.001,0.0,3.009547487542682e-17
5011.87,0.2,-5.637900000000001e-18,-9.47723e-16,0.001,0.0,3.009551327785444e-17
5623.41,0.2,-5.637900000000001e-18,-1.0633999999999999e-15,0.001,0.0,3.009657245050983e-17
6309.57,0.2,-5.637900000000001e-18,-1.1931000000000002e-15,0.001,0.0,3.0095198659011686e-17
7079.46,0.2,-5.637900000000001e-18,-1.3387e-15,0.001,0.0,3.009561778965066e-17
7943.28,0.2,-5.637900000000001e-18,-1.5020000000000001e-15,0.001,0.0,3.0094712074108784e-17
8912.509999999998,0.2,-5.637900000000001e-18,-1.6853000000000002e-15,0.001,0.0,3.009520613079495e-17
10000.0,0.2,-5.637900000000001e-18,-1.891e-15,0.001,0.0,3.009619973867741e-17
11220.179999999998,0.2,-5.637900000000001e-18,-2.1217e-15,0.001,0.0,3.009568855027945e-17
12589.25,0.2,-5.637900000000001e-18,-2.3806e-15,0.001,0.0,3.0095856188777416e-17
14125.38,0.2,-5.637900000000001e-18,-2.6710000000000002e-15,0.001,0.0,3.0094967568904515e-17
15848.929999999998,0.2,-5.637900000000001e-18,-2.997e-15,0.001,0.0,3.0095871736856073e-17
17782.789999999997,0.2,-5.637900000000001e-18,-3.3626000000000002e-15,0.001,0.0,3.009507572438337e-17
19952.62,0.2,-5.637900000000001e-18,-3.773e-15,0.001,0.0,3.009587714724789e-17
22387.21,0.2,-5.637900000000001e-18,-4.2333e-15,0.001,0.0,3.0095336604736396e-17
25118.86,0.2,-5.637900000000001e-18,-4.749900000000001e-15,0.001,0.0,3.0095715497924424e-17
28183.83,0.2,-5.637900000000001e-18,-5.3294e-15,0.001,0.0,3.0095283491063745e-17
31622.78,0.2,-5.637900000000001e-18,-5.9797000000000005e-15,0.001,0.0,3.009535572794697e-17
35481.340000000004,0.2,-5.637900000000001e-18,-6.7094e-15,0.001,0.0,3.009565521428341e-17
39810.72,0.2,-5.637900000000001e-18,-7.528000000000001e-15,0.001,0.0,3.0095371588250306e-17
44668.36,0.2,-5.637900000000001e-18,-8.446600000000001e-15,0.001,0.0,3.009553389289429e-17
50118.72,0.2,-5.637900000000001e-18,-9.4772e-15,0.001,0.0,3.009540600140049e-17
56234.13,0.2,-5.637900000000001e-18,-1.06336e-14,0.001,0.0,3.0095424306590644e-17
63095.73,0.2,-5.637900000000001e-18,-1.1931100000000002e-14,0.001,0.0,3.009543659331166e-17
70794.58,0.2,-5.637900000000001e-18,-1.3386900000000001e-14,0.001,0.0,3.009540147956092e-17
79432.82,0.2,-5.637900000000001e-18,-1.5020400000000002e-14,0.001,0.0,3.009550595355302e-17
89125.09,0.2,-5.637900000000001e-18,-1.6853200000000003e-14,0.001,0.0,3.0095566657114524e-17
100000.0,0.2,-5.637900000000001e-18,-1.89096e-14,0.001,0.0,3.009556311890505e-17
112201.84999999999,0.2,-5.637900000000001e-18,-2.12169e-14,0.001,0.0,3.009553329188809e-17
125892.54,0.2,-5.637900000000001e-18,-2.3805700000000003e-14,0.001,0.0,3.0095467362583464e-17
