frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
35481.340000000004,0.2,-2.1770780000000002e-16,-1.2284800000000001e-14,0.001,0.0,5.51046450020015e-17
39810.72,0.2,-2.1770780000000002e-16,-1.37837e-14,0.001,0.0,5.5104353528289814e-17
44668.36,0.2,-2.1770780000000002e-16,-1.5465600000000003e-14,0.001,0.0,5.510447860369213e-17
50118.72,0.2,-2.1770780000000002e-16,-1.73527e-14,0.001,0.0,5.510451944883534e-17
56234.13,0.2,-2.1770780000000002e-16,-1.947e-14,0.001,0.0,5.510437775065076e-17
63095.73,0.2,-2.1770780000000002e-16,-2.1845700000000004e-14,0.001,0.0,5.5104380919320816e-17
70794.58,0.2,-2.1770780000000002e-16,-2.45113e-14,0.001,0.0,5.5104424047834937e-17
79432.82,0.2,-2.1770780000000002e-16,-2.75022e-14,0.001,0.0,5.510456604589795e-17
89125.09,0.2,-2.1770780000000002e-16,-3.0857900000000006e-14,0.001,0.0,5.510443039592329e-17
100000.0,0.2,-2.1770780000000002e-16,-3.46232e-14,0.001,0.0,5.5104534256593113e-17
112201.84999999999,0.2,-2.1770780000000002e-16,-3.8847800000000005e-14,0.001,0.0,5.510443364566032e-17
125892.54,0.2,-2.1770780000000002e-16,-4.358800000000001e-14,0.001,0.0,5.510450150175328e-17
141253.75,0.2,-2.1770780000000002e-16,-4.89065e-14,0.001,0.0,5.510445722201202e-17
158489.31999999998,0.2,-2.1770780000000002e-16,-5.487400000000001e-14,0.001,0.0,5.5104459702550735e-17
177827.94,0.2,-2.1770780000000002e-16,-6.15697e-14,0.001,0.0,5.510451338347094e-17
199526.23,0.2,-2.1770780000000002e-16,-6.908230000000001e-14,0.001,0.0,5.510448187768216e-17
223872.11,0.2,-2.1770780000000002e-16,-7.75116e-14,0.001,0.0,5.5104471418801375e-17
251188.63999999998,0.2,-2.1770780000000002e-16,-8.696950000000001e-14,0.001,0.0,5.510450561470692e-17
281838.29,0.2,-2.1770780000000002e-16,-9.758140000000001e-14,0.001,0.0,5.5104514591780553e-17
316227.77,0.2,-2.1770780000000002e-16,-1.0948810000000001e-13,0.001,0.0,5.5104497384084096e-17
354813.39,0.2,-2.1770780000000002e-16,-1.228476e-13,0.001,0.0,5.510446713123177e-17
398107.17,0.2,-2.1770780000000002e-16,-1.378373e-13,0.001,0.0,5.5104477614508947e-17
446683.58999999997,0.2,-2.1770780000000002e-16,-1.54656e-13,0.001,0.0,5.5104479837327734e-17
501187.23,0.2,-2.1770780000000002e-16,-1.7352690000000002e-13,0.001,0.0,5.510448439480993e-17
562341.33,0.2,-2.1770780000000002e-16,-1.9470040000000002e-13,0.001,0.0,5.510448801970374e-17
630957.3400000001,0.2,-2.1770780000000002e-16,-2.1845740000000002e-13,0.001,0.0,5.510447832337352e-17
707945.78,0.2,-2.1770780000000002e-16,-2.4511330000000004e-13,0.001,0.0,5.510449304827649e-17
794328.23,0.2,-2.1770780000000002e-16,-2.750216e-13,0.001,0.0,5.51044838190404e-17
891250.9400000001,0.2,-2.1770780000000002e-16,-3.0857930000000003e-13,0.001,0.0,5.510448149523063e-17
1000000.0,0.2,-2.1770780000000002e-16,-3.462317e-13,0.001,0.0,5.5104486510110186e-17
1122020.0,0.2,-2.1770780000000002e-16,-3.8847840000000006e-13,0.001,0.0,5.51044167166633e-17
1258930.0,0.2,-2.1770780000000002e-16,-4.3587990000000005e-13,0.001,0.0,5.5104287513524215e-17
1412540.0,0.2,-2.1770780000000002e-16,-4.890653e-13,0.001,0.0,5.510439349662362e-17
1584890.0,0.2,-2.1770780000000002e-16,-5.487403000000001e-13,0.001,0.0,5.5104601088233e-17
1778280.0,0.2,-2.1770780000000002e-16,-6.156967e-13,0.001,0.0,5.510446794113849e-17
1995260.0,0.2,-2.1770780000000002e-16,-6.908231000000001e-13,0.001,0.0,5.5104553375032186e-17
2238720.0,0.2,-2.1770780000000002e-16,-7.751162000000001e-13,0.001,0.0,5.510451271289227e-17
2511890.0,0.2,-2.1770780000000002e-16,-8.696947000000001e-13,0.001,0.0,5.510440763163316e-17
2818380.0,0.2,-2.1770780000000002e-16,-9.758135e-13,0.001,0.0,5.510454305693456e-17
3162280.0,0.2,-2.1770780000000002e-16,-1.0949e-12,0.001,0.0,5.510541355962033e-17
3548130.0,0.2,-2.1770780000000002e-16,-1.2284999999999999e-12,0.001,0.0,5.5105604244600226e-17
3981070.0,0.2,-2.1770780000000002e-16,-1.3784e-12,0.001,0.0,5.510558054941725e-17
4466840.0,0.2,-2.1770780000000002e-16,-1.5465999999999999e-12,0.001,0.0,5.510585447115305e-17
5011870.0,0.2,-2.1770780000000002e-16,-1.7353e-12,0.001,0.0,5.510549410646446e-17
5623410.0,0.2,-2.1770780000000002e-16,-1.947e-12,0.001,0.0,5.510440714796187e-17
6309570.0,0.2,-2.1770780000000002e-16,-2.1846000000000002e-12,0.001,0.0,5.510516385087329e-17
7079460.0,0.2,-2.1770780000000002e-16,-2.4511e-12,0.001,0.0,5.5103734043633927e-17
7943280.0,0.2,-2.1770780000000002e-16,-2.7501999999999997e-12,0.001,0.0,5.510417919188679e-17
8912510.0,0.2,-2.1770780000000002e-16,-3.0857999999999996e-12,0.001,0.0,5.5104602787875764e-17
10000000.0,0.2,-2.1770780000000002e-16,-3.4623e-12,0.001,0.0,5.510421594670692e-17
11220180.0,0.2,-2.1770780000000002e-16,-3.8848e-12,0.001,0.0,5.510474189570889e-17
12589250.0,0.2,-2.1770780000000002e-16,-4.3587999999999996e-12,0.001,0.0,5.510451901018356e-17
14125380.0,0.2,-2.1770780000000002e-16,-4.8907e-12,0.001,0.0,5.5105001081707715e-17
15848930.0,0.2,-2.1770780000000002e-16,-5.4874e-12,0.001,0.0,5.5104466656264273e-17
17782790.0,0.2,-2.1770780000000002e-16,-6.157e-12,0.001,0.0,5.510479427675857e-17
19952620.0,0.2,-2.1770780000000002e-16,-6.9082e-12,0.001,0.0,5.5104250863667596e-17
22387210.0,0.2,-2.1770780000000002e-16,-7.7512e-12,0.001,0.0,5.51047582478522e-17
25118860.0,0.2,-2.1770780000000002e-16,-8.696899999999999e-12,0.001,0.0,5.510419758603314e-17
28183830.0,0.2,-2.1770780000000002e-16,-9.7581e-12,0.001,0.0,5.5104286755385054e-17
31622780.0,0.2,-2.1770780000000002e-16,-1.09488e-11,0.001,0.0,5.5104441827206325e-17
35481340.0,0.2,-2.1770780000000002e-16,-1.22848e-11,0.001,0.0,5.5104645002001506e-17
39810720.0,0.2,-2.1770780000000002e-16,-1.37837e-11,0.001,0.0,5.5104353528289814e-17
44668360.0,0.2,-2.1770780000000002e-16,-1.54656e-11,0.001,0.0,5.510447860369211e-17
50118720.0,0.2,-2.1770780000000002e-16,-1.7352699999999998e-11,0.001,0.0,5.510451944883532e-17
56234130.0,0.2,-2.1814150000000003e-16,-1.947e-11,0.001,0.0,5.510437775065075e-17
63095730.0,0.2,-2.1814150000000003e-16,-2.18457e-11,0.001,0.0,5.510438091932082e-17
70794580.0,0.2,-2.1814150000000003e-16,-2.45113e-11,0.001,0.0,5.510442404783493e-17
79432820.0,0.2,-2.1814150000000003e-16,-2.75022e-11,0.001,0.0,5.510456604589795e-17
89125090.0,0.2,-2.1814150000000003e-16,-3.08579e-11,0.001,0.0,5.5104430395923275e-17
100000000.0,0.2,-2.1857520000000002e-16,-3.46232e-11,0.001,0.0,5.510453425659311e-17
112201850.0,0.2,-2.1857520000000002e-16,-3.88478e-11,0.001,0.0,5.5104433645660315e-17
125892540.0,0.2,-2.18792e-16,-4.3588e-11,0.001,0.0,5.510450150175327e-17
141253750.0,0.2,-2.192257e-16,-4.89065e-11,0.001,0.0,5.5104457222012014e-17
158489320.0,0.2,-2.1987620000000003e-16,-5.4874e-11,0.001,0.0,5.510445970255072e-17
177827940.0,0.2,-2.1987620000000003e-16,-6.15697e-11,0.001,0.0,5.5104513383470946e-17
199526230.0,0.2,-2.2030990000000002e-16,-6.90823e-11,0.001,0.0,5.510448187768216e-17
223872110.0,0.2,-2.2117720000000001e-16,-7.75116e-11,0.001,0.0,5.510447141880136e-17
