frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
7079.46,0.2,-3.64327e-14,-8.239792000000001e-16,0.001,0.0,1.852406294899688e-17
7943.28,0.2,-3.64327e-14,-9.245199000000001e-16,0.001,0.0,1.852407469859111e-17
8912.509999999998,0.2,-3.64327e-14,-1.0373000000000001e-15,0.001,0.0,1.8523560979928557e-17
10000.0,0.2,-3.64327e-14,-1.1639e-15,0.001,0.0,1.8524043826465698e-17
11220.179999999998,0.2,-3.64327e-14,-1.3059000000000002e-15,0.001,0.0,1.8523806229820395e-17
12589.25,0.2,-3.64327e-14,-1.4653000000000002e-15,0.001,0.0,1.852451401890933e-17
14125.38,0.2,-3.64327e-14,-1.6441e-15,0.001,0.0,1.8524573635356015e-17
15848.929999999998,0.2,-3.64327e-14,-1.8447e-15,0.001,0.0,1.8524476006999803e-17
17782.789999999997,0.2,-3.64327e-14,-2.0697e-15,0.001,0.0,1.852369542221979e-17
19952.62,0.2,-3.64327e-14,-2.3223e-15,0.001,0.0,1.8524159952041814e-17
22387.21,0.2,-3.64327e-14,-2.6057000000000005e-15,0.001,0.0,1.8524417969659988e-17
25118.86,0.2,-3.64327e-14,-2.9236e-15,0.001,0.0,1.852414447245875e-17
28183.83,0.2,-3.64327e-14,-3.2803e-15,0.001,0.0,1.8523953622497167e-17
31622.78,0.2,-3.64327e-14,-3.680600000000001e-15,0.001,0.0,1.8524167816492735e-17
35481.340000000004,0.2,-3.64327e-14,-4.1297e-15,0.001,0.0,1.8524164208189435e-17
39810.72,0.2,-3.64327e-14,-4.633600000000001e-15,0.001,0.0,1.8524164956338554e-17
44668.36,0.2,-3.64327e-14,-5.199e-15,0.001,0.0,1.852422048033024e-17
50118.72,0.2,-3.64327e-14,-5.833300000000001e-15,0.001,0.0,1.8523987235467174e-17
56234.13,0.2,-3.64327e-14,-6.5451000000000006e-15,0.001,0.0,1.852407102289596e-17
63095.73,0.2,-3.64327e-14,-7.343700000000001e-15,0.001,0.0,1.8524013520153455e-17
70794.58,0.2,-3.64327e-14,-8.239800000000001e-15,0.001,0.0,1.8524086167169852e-17
79432.82,0.2,-3.64327e-14,-9.245200000000001e-15,0.001,0.0,1.852407203814734e-17
89125.09,0.2,-3.64327e-14,-1.0373300000000002e-14,0.001,0.0,1.8524098782679024e-17
100000.0,0.2,-3.64327e-14,-1.1639e-14,0.001,0.0,1.85240438264657e-17
112201.84999999999,0.2,-3.64327e-14,-1.3059200000000002e-14,0.001,0.0,1.8524081669114014e-17
125892.54,0.2,-3.64327e-14,-1.46527e-14,0.001,0.0,1.852412886929293e-17
141253.75,0.2,-3.64327e-14,-1.6440500000000002e-14,0.001,0.0,1.8524016827180205e-17
158489.31999999998,0.2,-3.64327e-14,-1.8446600000000003e-14,0.001,0.0,1.8524071989449873e-17
177827.94,0.2,-3.64327e-14,-2.06974e-14,0.001,0.0,1.8524049253172446e-17
199526.23,0.2,-3.64327e-14,-2.32229e-14,0.001,0.0,1.8524077400393805e-17
223872.11,0.2,-3.64327e-14,-2.60565e-14,0.001,0.0,1.852406168269005e-17
251188.63999999998,0.2,-3.64327e-14,-2.9235900000000003e-14,0.001,0.0,1.852407816189595e-17
281838.29,0.2,-3.64327e-14,-3.28032e-14,0.001,0.0,1.8524067220362646e-17
316227.77,0.2,-3.64327e-14,-3.68058e-14,0.001,0.0,1.852406891542663e-17
354813.39,0.2,-3.64327e-14,-4.12968e-14,0.001,0.0,1.85240750183565e-17
398107.17,0.2,-3.64327e-14,-4.63358e-14,0.001,0.0,1.852408639642799e-17
446683.58999999997,0.2,-3.64327e-14,-5.198960000000001e-14,0.001,0.0,1.8524078373621032e-17
501187.23,0.2,-3.64327e-14,-5.83333e-14,0.001,0.0,1.8524081393419496e-17
562341.33,0.2,-3.64327e-14,-6.5451e-14,0.001,0.0,1.8524070034666743e-17
630957.3400000001,0.2,-3.64327e-14,-7.343720000000001e-14,0.001,0.0,1.8524062794527658e-17
707945.78,0.2,-3.64327e-14,-8.239790000000002e-14,0.001,0.0,1.8524064209255808e-17
794328.23,0.2,-3.64327e-14,-9.2452e-14,0.001,0.0,1.8524071338534587e-17
891250.9400000001,0.2,-3.64327e-14,-1.037328e-13,0.001,0.0,1.8524062236347218e-17
1000000.0,0.2,-3.64327e-14,-1.163902e-13,0.001,0.0,1.852407565745432e-17
1122020.0,0.2,-3.64327e-14,-1.3059190000000001e-13,0.001,0.0,1.8524042720060684e-17
1258930.0,0.2,-3.64327e-14,-1.465265e-13,0.001,0.0,1.852399797364e-17
1412540.0,0.2,-3.64327e-14,-1.644055e-13,0.001,0.0,1.852404037867572e-17
1584890.0,0.2,-3.64327e-14,-1.8446600000000003e-13,0.001,0.0,1.8524109390802877e-17
1778280.0,0.2,-3.64327e-14,-2.069742e-13,0.001,0.0,1.8524060902945858e-17
1995260.0,0.2,-3.64327e-14,-2.3222890000000003e-13,0.001,0.0,1.852409077703831e-17
2238720.0,0.2,-3.64327e-14,-2.6056509999999997e-13,0.001,0.0,1.8524077893722314e-17
2511890.0,0.2,-3.64327e-14,-2.9235890000000005e-13,0.001,0.0,1.8524045277424223e-17
2818380.0,0.2,-3.64327e-14,-3.28032e-13,0.001,0.0,1.852408628088498e-17
3162280.0,0.2,-3.64327e-14,-3.68058e-13,0.001,0.0,1.8524055442439258e-17
3548130.0,0.2,-3.64327e-14,-4.129679e-13,0.001,0.0,1.852409089387354e-17
3981070.0,0.2,-3.64327e-14,-4.633576e-13,0.001,0.0,1.852407831542706e-17
4466840.0,0.2,-3.64327e-14,-5.198957000000001e-13,0.001,0.0,1.8524050681739463e-17
5011870.0,0.2,-3.64327e-14,-5.833326e-13,0.001,0.0,1.8524077192075482e-17
5623410.0,0.2,-3.64327e-14,-6.5451e-13,0.001,0.0,1.85240809051939e-17
6309570.0,0.2,-3.64327e-14,-7.343723e-13,0.001,0.0,1.852408034378956e-17
7079460.0,0.2,-3.64327e-14,-8.239792e-13,0.001,0.0,1.852406294899688e-17
7943280.0,0.2,-3.64327e-14,-9.245199000000001e-13,0.001,0.0,1.8524074698591107e-17
8912510.0,0.2,-3.64327e-14,-1.0373e-12,0.001,0.0,1.8523560979928554e-17
10000000.0,0.2,-3.64327e-14,-1.1639e-12,0.001,0.0,1.8524043826465698e-17
11220180.0,0.2,-3.64327e-14,-1.3059000000000001e-12,0.001,0.0,1.8523806229820388e-17
12589250.0,0.2,-3.64327e-14,-1.4653e-12,0.001,0.0,1.8524514018909328e-17
14125380.0,0.2,-3.64327e-14,-1.6440999999999998e-12,0.001,0.0,1.8524573635356012e-17
15848930.0,0.2,-3.64327e-14,-1.8447e-12,0.001,0.0,1.85244760069998e-17
17782790.0,0.2,-3.64327e-14,-2.0697e-12,0.001,0.0,1.8523695422219786e-17
19952620.0,0.2,-3.64327e-14,-2.3223e-12,0.001,0.0,1.8524159952041814e-17
22387210.0,0.2,-3.64327e-14,-2.6057e-12,0.001,0.0,1.8524417969659985e-17
25118860.0,0.2,-3.64327e-14,-2.9235999999999998e-12,0.001,0.0,1.852414447245875e-17
28183830.0,0.2,-3.64327e-14,-3.2803e-12,0.001,0.0,1.8523953622497164e-17
