frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
1000000000.0,0.2,-9.705778e-16,-1.9714060000000001e-10,0.001,0.0,3.13759009741021e-17
1122020000.0,0.2,-9.753483e-16,-2.211954e-10,0.001,0.0,3.1375858985748053e-17
1258930000.0,0.2,-9.809861000000001e-16,-2.481853e-10,0.001,0.0,3.137578522852341e-17
1412540000.0,0.2,-9.887924000000002e-16,-2.784685e-10,0.001,0.0,3.137584653913196e-17
1584890000.0,0.2,-9.983334e-16,-3.124468e-10,0.001,0.0,3.137596468729363e-17
1778280000.0,0.2,-1.01e-15,-3.50571e-10,0.001,0.0,3.137588431218303e-17
1995260000.0,0.2,-1.0252e-15,-3.933472e-10,0.001,0.0,3.137593658538555e-17
2238720000.0,0.2,-1.0447e-15,-4.413428e-10,0.001,0.0,3.1375914905846973e-17
2511890000.0,0.2,-1.0682e-15,-4.951948e-10,0.001,0.0,3.1375856511790916e-17
2818380000.0,0.2,-1.0985000000000002e-15,-5.556177e-10,0.001,0.0,3.137593348815624e-17
3162280000.0,0.2,-1.1358e-15,-6.234133e-10,0.001,0.0,3.1375876988827896e-17
3548130000.0,0.2,-1.1835e-15,-6.994811999999999e-10,0.001,0.0,3.137593340149618e-17
3981070000.0,0.2,-1.2438e-15,-7.848307999999999e-10,0.001,0.0,3.1375911830429174e-17
4466840000.0,0.2,-1.3193e-15,-8.805947e-10,0.001,0.0,3.1375871839046094e-17
5011870000.0,0.2,-1.4147e-15,-9.880435e-10,0.001,0.0,3.1375914980799e-17
5623410000.0,0.2,-1.5344e-15,-1.1086e-09,0.001,0.0,3.137583244182359e-17
6309570000.0,0.2,-1.6853000000000002e-15,-1.2439e-09,0.001,0.0,3.137659677474196e-17
7079460000.0,0.2,-1.8748e-15,-1.3956e-09,0.001,0.0,3.1374799572149446e-17
7943280000.0,0.2,-2.1133000000000002e-15,-1.5659000000000001e-09,0.001,0.0,3.1375039704958025e-17
8912510000.0,0.2,-2.4139e-15,-1.757e-09,0.001,0.0,3.137558723776581e-17
10000000000.0,0.2,-2.7933000000000002e-15,-1.9714e-09,0.001,0.0,3.137580548113625e-17
10.0,0.4,-4.8282e-15,-2.0643e-18,0.001,0.0,3.285435490245995e-17
11.22018,0.4,-4.8282e-15,-2.3162e-18,0.001,0.0,3.285461366835898e-17
12.58925,0.4,-4.8282e-15,-2.5988000000000004e-18,0.001,0.0,3.28543690932516e-17
14.12538,0.4,-4.8282e-15,-2.9159000000000004e-18,0.001,0.0,3.2854330188756527e-17
15.84893,0.4,-4.8282e-15,-3.2717000000000005e-18,0.001,0.0,3.2854408929420103e-17
17.78279,0.4,-4.8282e-15,-3.6709e-18,0.001,0.0,3.285434291222236e-17
19.95262,0.4,-4.8282e-15,-4.118800000000001e-18,0.001,0.0,3.285420058152256e-17
22.38721,0.4,-4.8282e-15,-4.621400000000001e-18,0.001,0.0,3.285441348005782e-17
25.11886,0.4,-4.8282e-15,-5.1853000000000004e-18,0.001,0.0,3.2854441898016263e-17
28.18383,0.4,-4.8282e-15,-5.818e-18,0.001,0.0,3.285442251491891e-17
31.62278,0.4,-4.8282e-15,-6.5279000000000005e-18,0.001,0.0,3.285440283901617e-17
35.48134,0.4,-4.8282e-15,-7.3245e-18,0.001,0.0,3.285474507661174e-17
39.81072,0.4,-4.8282e-15,-8.2182e-18,0.001,0.0,3.2854647022656564e-17
44.66836,0.4,-4.8282e-15,-9.220900000000002e-18,0.001,0.0,3.285439211907619e-17
50.11872,0.4,-4.8282e-15,-1.03461e-17,0.001,0.0,3.285464905574321e-17
56.23413,0.4,-4.8282e-15,-1.16085e-17,0.001,0.0,3.285460550171696e-17
63.09573,0.4,-4.8282e-15,-1.3024900000000002e-17,0.001,0.0,3.285447712987278e-17
70.79458,0.4,-4.8282e-15,-1.46142e-17,0.001,0.0,3.285452317583602e-17
79.43282,0.4,-4.8282e-15,-1.6397400000000002e-17,0.001,0.0,3.285452113943638e-17
89.12509,0.4,-4.8282e-15,-1.83982e-17,0.001,0.0,3.2854547176258776e-17
100.0,0.4,-4.8282e-15,-2.06431e-17,0.001,0.0,3.285451405740305e-17
112.20185,0.4,-4.8282e-15,-2.3162e-17,0.001,0.0,3.285459902750694e-17
125.89254,0.4,-4.8282e-15,-2.59881e-17,0.001,0.0,3.285448507565647e-17
141.25375,0.4,-4.8282e-15,-2.91592e-17,0.001,0.0,3.2854567164448336e-17
158.48932,0.4,-4.8282e-15,-3.27171e-17,0.001,0.0,3.285450520345377e-17
177.82794,0.4,-4.8282e-15,-3.6709200000000005e-17,0.001,0.0,3.285451452088465e-17
199.52623,0.4,-4.8282e-15,-4.11884e-17,0.001,0.0,3.2854514707395726e-17
223.87211,0.4,-4.8282e-15,-4.62142e-17,0.001,0.0,3.285455419631087e-17
251.18864,0.4,-4.8282e-15,-5.1853200000000004e-17,0.001,0.0,3.285456338763038e-17
281.83829,0.4,-4.8282e-15,-5.81802e-17,0.001,0.0,3.2854536621248625e-17
316.22777,0.4,-4.8282e-15,-6.527930000000001e-17,0.001,0.0,3.2854556943492866e-17
354.81339,0.4,-4.8282e-15,-7.32446e-17,0.001,0.0,3.285456657875464e-17
398.10717,0.4,-4.8282e-15,-8.218170000000001e-17,0.001,0.0,3.2854529564728053e-17
446.68359,0.4,-4.8282e-15,-9.220940000000001e-17,0.001,0.0,3.285453537600926e-17
501.18723,0.4,-4.8282e-15,-1.034607e-16,0.001,0.0,3.285455182237516e-17
562.34133,0.4,-4.8282e-15,-1.160848e-16,0.001,0.0,3.285454714458575e-17
630.95734,0.4,-4.8282e-15,-1.3024930000000002e-16,0.001,0.0,3.285455072011557e-17
707.94578,0.4,-4.8282e-15,-1.461421e-16,0.001,0.0,3.285454658523436e-17
794.32823,0.4,-4.8282e-15,-1.639741e-16,0.001,0.0,3.2854539935014966e-17
891.25094,0.4,-4.8282e-15,-1.8398200000000002e-16,0.001,0.0,3.285454570172245e-17
1000.0,0.4,-4.8282e-15,-2.0643120000000001e-16,0.001,0.0,3.2854545888391666e-17
1122.02,0.4,-4.8282e-15,-2.3161960000000003e-16,0.001,0.0,3.285449836631037e-17
1258.93,0.4,-4.8282e-15,-2.598815e-16,0.001,0.0,3.2854428239168496e-17
1412.54,0.4,-4.8282e-15,-2.915918e-16,0.001,0.0,3.285448648184358e-17
1584.8899999999999,0.4,-4.8282e-15,-3.2717140000000004e-16,0.001,0.0,3.285461170699275e-17
1778.28,0.4,-4.8282e-15,-3.6709240000000003e-16,0.001,0.0,3.285453923536636e-17
1995.26,0.4,-4.8282e-15,-4.1188440000000005e-16,0.001,0.0,3.285458448645263e-17
2238.72,0.4,-4.8282e-15,-4.621419000000001e-16,0.001,0.0,3.2854563230274626e-17
2511.8900000000003,0.4,-4.8282e-15,-5.185317000000001e-16,0.001,0.0,3.285449729281288e-17
2818.38,0.4,-4.8282e-15,-5.818022e-16,0.001,0.0,3.2854581721322e-17
3162.28,0.4,-4.8282e-15,-6.527928000000001e-16,0.001,0.0,3.2854522981772336e-17
3548.13,0.4,-4.8282e-15,-7.324455000000001e-16,0.001,0.0,3.2854580263523276e-17
3981.0699999999997,0.4,-4.8282e-15,-8.218174000000001e-16,0.001,0.0,3.285455958547059e-17
4466.84,0.4,-4.8282e-15,-9.220943e-16,0.001,0.0,3.2854515908754525e-17
5011.87,0.4,-4.8282e-15,-1.0346e-15,0.001,0.0,3.2854344610469736e-17
5623.41,0.4,-4.8282e-15,-1.1608e-15,0.001,0.0,3.285320791851779e-17
6309.57,0.4,-4.8282e-15,-1.3025000000000002e-15,0.001,0.0,3.2854744994856025e-17
7079.46,0.4,-4.8282e-15,-1.4614000000000002e-15,0.001,0.0,3.285406426966123e-17
7943.28,0.4,-4.8282e-15,-1.6397e-15,0.001,0.0,3.285372795467122e-17
8912.509999999998,0.4,-4.8282e-15,-1.8398000000000004e-15,0.001,0.0,3.285418634037652e-17
10000.0,0.4,-4.8282e-15,-2.0643e-15,0.001,0.0,3.2854354902459955e-17
11220.179999999998,0.4,-4.8282e-15,-2.3162e-15,0.001,0.0,3.285461366835898e-17
12589.25,0.4,-4.8282e-15,-2.5988000000000003e-15,0.001,0.0,3.28543690932516e-17
14125.38,0.4,-4.8282e-15,-2.9159000000000003e-15,0.001,0.0,3.2854330188756527e-17
15848.929999999998,0.4,-4.8282e-15,-3.2717000000000003e-15,0.001,0.0,3.28544089294201e-17
17782.789999999997,0.4,-4.8282e-15,-3.6709000000000005e-15,0.001,0.0,3.285434291222237e-17
19952.62,0.4,-4.8282e-15,-4.1188000000000006e-15,0.001,0.0,3.285420058152256e-17
22387.21,0.4,-4.8282e-15,-4.6214000000000005e-15,0.001,0.0,3.285441348005782e-17
25118.86,0.4,-4.8282e-15,-5.1853e-15,0.001,0.0,3.285444189801627e-17
28183.83,0.4,-4.8282e-15,-5.818e-15,0.001,0.0,3.285442251491891e-17
31622.78,0.4,-4.8282e-15,-6.5279e-15,0.001,0.0,3.285440283901617e-17
35481.340000000004,0.4,-4.8282e-15,-7.3245e-15,0.001,0.0,3.285474507661174e-17
39810.72,0.4,-4.8282e-15,-8.218200000000001e-15,0.001,0.0,3.285464702265657e-17
44668.36,0.4,-4.8282e-15,-9.220900000000001e-15,0.001,0.0,3.285439211907619e-17
50118.72,0.4,-4.8282e-15,-1.0346100000000001e-14,0.001,0.0,3.2854649055743217e-17
56234.13,0.4,-4.8282e-15,-1.16085e-14,0.001,0.0,3.285460550171697e-17
63095.73,0.4,-4.8282e-15,-1.3024900000000002e-14,0.001,0.0,3.2854477129872775e-17
70794.58,0.4,-4.8282e-15,-1.46142e-14,0.001,0.0,3.285452317583602e-17
79432.82,0.4,-4.8282e-15,-1.6397400000000003e-14,0.001,0.0,3.285452113943638e-17
89125.09,0.4,-4.8282e-15,-1.83982e-14,0.001,0.0,3.2854547176258776e-17
100000.0,0.4,-4.8282e-15,-2.06431e-14,0.001,0.0,3.2854514057403053e-17
112201.84999999999,0.4,-4.8282e-15,-2.3162000000000002e-14,0.001,0.0,3.285459902750695e-17
125892.54,0.4,-4.8282e-15,-2.5988100000000003e-14,0.001,0.0,3.2854485075656475e-17
141253.75,0.4,-4.8282e-15,-2.91592e-14,0.001,0.0,3.285456716444834e-17
158489.31999999998,0.4,-4.8282e-15,-3.27171e-14,0.001,0.0,3.2854505203453775e-17
177827.94,0.4,-4.8282e-15,-3.670920000000001e-14,0.001,0.0,3.285451452088465e-17
199526.23,0.4,-4.8282e-15,-4.1188400000000003e-14,0.001,0.0,3.2854514707395726e-17
223872.11,0.4,-4.8282e-15,-4.62142e-14,0.001,0.0,3.285455419631088e-17
251188.63999999998,0.4,-4.8282e-15,-5.1853200000000006e-14,0.001,0.0,3.285456338763039e-17
281838.29,0.4,-4.8282e-15,-5.81802e-14,0.001,0.0,3.2854536621248625e-17
316227.77,0.4,-4.8282e-15,-6.527930000000001e-14,0.001,0.0,3.2854556943492866e-17
354813.39,0.4,-4.8282e-15,-7.324460000000002e-14,0.001,0.0,3.285456657875465e-17
398107.17,0.4,-4.8282e-15,-8.218170000000002e-14,0.001,0.0,3.285452956472806e-17
446683.58999999997,0.4,-4.8282e-15,-9.220940000000001e-14,0.001,0.0,3.2854535376009266e-17
501187.23,0.4,-4.8282e-15,-1.0346070000000001e-13,0.001,0.0,3.285455182237516e-17
562341.33,0.4,-4.8282e-15,-1.1608480000000002e-13,0.001,0.0,3.285454714458575e-17
